police_id,time_period,division,complaints,race,gender,age,experience
109495,10,0,0,4,1,32,333
109495,12,7,0,4,1,33,603
109495,13,7,1,4,1,34,791
109495,14,7,0,4,1,34,920
109495,15,7,0,4,1,34,1096
109495,16,7,1,4,1,35,1374
109495,17,7,0,4,1,36,1516
109496,11,5,0,4,1,30,378
109496,12,5,3,4,1,31,592
109496,13,5,0,4,1,31,741
109496,14,5,1,4,1,32,920
109496,15,5,0,4,1,33,1191
109496,16,5,0,4,1,33,1283
109496,17,5,0,4,1,34,1553
109498,12,7,1,5,0,27,603
109498,13,7,0,5,0,28,738
109498,14,7,0,5,0,28,1001
109498,15,7,0,5,0,29,1094
109498,16,7,0,5,0,29,1283
109499,12,7,0,5,1,24,603
109499,13,7,0,5,1,25,865
109499,14,7,0,5,1,25,920
109499,15,7,1,5,1,26,1094
109499,16,7,0,5,1,26,1283
109501,12,7,2,4,1,27,625
109501,13,7,0,4,1,28,738
109501,14,7,0,4,1,28,937
109501,15,7,1,4,1,29,1096
109501,16,7,0,4,1,29,1394
109501,17,7,0,4,1,30,1458
109502,11,0,1,4,1,28,378
109502,12,0,1,4,1,28,378
109502,13,0,0,4,1,30,771
109502,15,7,2,4,1,30,1103
109503,11,2,0,4,1,32,455
109503,12,2,0,4,1,33,601
109503,13,2,1,4,1,33,738
109503,14,2,0,4,1,34,920
109504,10,0,4,4,1,26,310
109504,11,0,1,4,1,26,375
109504,12,0,1,4,1,26,375
109504,13,0,2,4,1,27,738
109504,14,0,2,4,1,28,1030
109505,11,3,3,1,1,33,464
109505,12,3,0,1,1,33,464
109505,13,3,3,1,1,34,738
109505,14,3,1,1,1,35,970
109505,15,3,2,1,1,35,1094
109505,16,3,0,1,1,35,1283
109505,17,3,0,1,1,36,1458
109507,10,2,1,4,1,27,325
109507,11,2,0,4,1,27,374
109507,12,2,1,4,1,28,592
109507,13,2,1,4,1,28,850
109507,14,2,0,4,1,29,969
109507,15,2,0,4,1,29,1095
109507,16,2,0,4,1,30,1283
109507,17,2,2,4,1,30,1458
109510,12,2,0,4,1,27,604
109510,13,2,0,4,1,27,738
109510,14,2,0,4,1,27,920
109510,15,2,0,4,1,28,1095
109510,16,2,0,4,1,28,1283
109510,17,2,0,4,1,29,1458
109512,12,7,0,4,1,26,604
109512,13,7,1,4,1,27,804
109512,14,7,0,4,1,27,920
109512,15,7,0,4,1,27,1145
109512,16,7,0,4,1,28,1283
109512,17,7,0,4,1,28,1458
109513,11,0,1,4,1,25,465
109513,12,0,1,4,1,26,686
109513,13,0,0,4,1,26,769
109513,15,7,0,4,1,27,1151
109513,16,7,0,4,1,28,1283
109513,17,7,0,4,1,28,1459
109514,11,0,1,5,1,27,378
109514,12,0,0,5,1,28,596
109514,13,0,1,5,1,28,774
109514,14,0,5,5,1,29,920
109514,15,0,0,5,1,29,1094
109514,16,0,0,5,1,30,1346
109514,17,0,0,5,1,30,1459
109515,10,2,0,4,1,41,325
109515,12,5,1,4,1,42,604
109515,13,5,1,4,1,43,738
109515,15,6,0,4,1,44,1103
109515,16,6,0,4,1,44,1283
109515,17,6,3,4,1,45,1561
109516,12,2,1,4,1,28,604
109516,13,2,0,4,1,29,853
109516,14,2,1,4,1,29,972
109516,15,2,0,4,1,30,1086
109516,16,2,0,4,1,30,1283
109516,17,2,0,4,1,31,1458
109519,12,7,5,4,1,26,603
109519,13,7,1,4,1,27,738
109519,14,7,1,4,1,27,980
109519,15,7,0,4,1,28,1154
109519,16,7,4,4,1,28,1350
109519,17,7,1,4,1,29,1461
109521,11,0,1,4,1,30,387
109521,12,0,0,4,1,30,596
109521,13,0,1,4,1,31,738
109521,14,0,0,4,1,31,1021
109521,15,0,1,4,1,32,1231
109521,16,0,1,4,1,32,1324
109521,17,0,1,4,1,33,1484
109522,12,0,1,4,1,30,603
109522,13,0,0,4,1,31,738
109522,14,0,3,4,1,31,1042
109522,15,0,0,4,1,32,1101
