"","police_id","n"
"1","109495",7
"2","109496",7
"3","109498",5
"4","109499",5
"5","109501",6
"6","109502",4
"7","109503",4
"8","109504",5
"9","109505",7
"10","109507",8
"11","109510",6
"12","109512",6
"13","109513",6
"14","109514",7
"15","109515",6
"16","109516",6
"17","109519",6
"18","109521",7
"19","109522",6
"20","109524",3
"21","109525",7
"22","109526",5
"23","109527",5
"24","109528",6
"25","109530",7
"26","109531",7
"27","109532",2
"28","109533",7
"29","109534",6
"30","109535",5
"31","109536",7
"32","109542",4
"33","109543",7
"34","109544",6
"35","109545",8
"36","109546",7
"37","109547",8
"38","109548",2
"39","109550",7
"40","109551",6
"41","110059",7
"42","110060",6
"43","110062",6
"44","110063",7
"45","110064",6
"46","110066",7
"47","110067",4
"48","110068",6
"49","110069",1
"50","110070",7
"51","110071",7
"52","110073",5
"53","110074",7
"54","110077",6
"55","110079",3
"56","110081",6
"57","110083",7
"58","110084",4
"59","110090",7
"60","110092",3
"61","110094",7
"62","110096",7
"63","110097",7
"64","120548",1
"65","134862",6
"66","134864",5
"67","134865",5
"68","134867",5
"69","134868",6
"70","134869",6
"71","134870",5
"72","134871",6
"73","134872",5
"74","134874",5
"75","134875",4
"76","134878",6
"77","134879",5
"78","134882",5
"79","134884",5
"80","134885",4
"81","134886",4
"82","134889",3
"83","134892",6
"84","134893",6
"85","134895",7
"86","134898",5
"87","134899",6
"88","134901",3
"89","134902",2
"90","134903",7
"91","137872",6
"92","140777",5
"93","140779",6
"94","140781",1
"95","140784",4
"96","140786",6
"97","140787",6
"98","140788",5
"99","140789",5
"100","140790",4
"101","140791",5
"102","140792",3
"103","140796",5
"104","140800",6
"105","140803",1
"106","140804",5
"107","140805",6
"108","140806",5
"109","140808",6
"110","146768",2
"111","146772",6
"112","146773",5
"113","146774",4
"114","146775",4
"115","146777",5
"116","151122",4
"117","151123",6
"118","151124",5
"119","151125",5
"120","151127",6
"121","151129",5
"122","151130",4
"123","151131",3
"124","151132",5
"125","151133",2
"126","151137",4
"127","151139",4
"128","151141",6
"129","151144",3
"130","151145",2
"131","151146",6
"132","151147",2
"133","151149",4
"134","151151",4
"135","151152",4
"136","151153",4
"137","156305",5
"138","156307",5
"139","156308",5
"140","156309",5
"141","161941",6
"142","161942",6
"143","161945",5
"144","161946",5
"145","161947",3
"146","161948",6
"147","161949",5
"148","161951",6
"149","161952",4
"150","161953",5
"151","161955",3
"152","161958",2
"153","163661",4
"154","163667",2
"155","166461",4
"156","166477",5
"157","166478",4
"158","166480",3
"159","169413",4
"160","169414",4
"161","169415",1
"162","169419",3
"163","169421",4
"164","169422",4
"165","169423",5
"166","169424",2
"167","169425",4
"168","169426",4
"169","173950",2
"170","173951",4
"171","173952",3
"172","175719",4
"173","175720",4
"174","177281",4
"175","177282",3
